company,region,houses_count,points,satisfaction_level,reliability_level,violations_level,global_id
«УПРАВЛЯЮЩАЯ КОМПАНИЯ ПОБЕДА»,Юго-Восточный ,1,82.34,106.0,50.0,99.61,2387463316
«РЕМОНТНО-ЭКСПЛУАТАЦИОННОЕ УПРАВЛЕНИЕ 29 РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО»,Восточный ,42,82.33,106.31,50.0,99.26,2387463317
ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО «РЕМОНТНО-ЭКСПЛУАТАЦИОННОЕ УПРАВЛЕНИЕ №20 РАЙОНА «СОКОЛИНАЯ ГОРА»,Восточный ,92,82.31,106.29,50.0,99.23,2387463318
«ЖИЛИЩНИК РАЙОНА ДОРОГОМИЛОВО»,Западный ,129,82.3,107.87,50.0,97.62,2387463319
УПРАВЛЯЮЩАЯ ОРГАНИЗАЦИЯ «БАЛТИЕЦ»,Северный ,4,82.3,108.0,50.0,97.5,2387463320
«КВАРТАЛ 51-52»,Восточный ,1,82.29,108.0,0.0,97.72,2387463321
«УПРАВЛЯЮЩАЯ КОМПАНИЯ «МУЛЬТИСТОРИ»,"[Новомосковский , Троицкий ]",1,82.27,106.0,0.0,99.68,2387463322
«УПРАВЛЯЮЩАЯ КОМПАНИЯ АВТОСТРОЙ ЖКХ»,"[Новомосковский , Троицкий ]",14,82.26,106.0,50.0,99.39,2387463323
ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО «МАСТЕР ОК»,Восточный ,60,82.25,106.1,42.0,99.32,2387463324
«ЖИЛИЩНИК ДАНИЛОВСКОГО РАЙОНА»,Южный ,334,82.24,106.47,50.0,98.89,2387463325
«УК НЕВЕРЛЕНД»,"[Новомосковский , Троицкий ]",13,82.23,108.0,50.0,97.33,2387463326
«ЖИЛИЩНИК РАЙОНА ЦАРИЦЫНО»,Южный ,336,82.17,106.2,49.0,98.97,2387463327
«ВСТ КОМ»,Юго-Восточный ,10,82.16,105.95,64.0,99.13,2387463328
«УПРАВЛЯЮЩАЯ КОМПАНИЯ «ПАРТНЕР»,Северо-Восточный ,51,82.12,105.59,48.0,99.48,2387463329
АКЦИОНЕРНОЕ ОБЩЕСТВО «РЕМОНТНО-ЭКСПЛУАТАЦИОННОЕ УПРАВЛЕНИЕ №24 РАЙОНА ИЗМАЙЛОВО»,Восточный ,173,82.1,105.48,50.0,99.52,2387463330
«УПРАВЛЯЮЩАЯ КОМПАНИЯ 1-ГО МИКРОРАЙОНА «УЮТНЫЙ ДОМ»,"[Новомосковский , Троицкий ]",42,82.1,106.0,46.0,99.0,2387463331
«УПРАВЛЯЮЩАЯ КОМПАНИЯ ТИМИРЯЗЕВСКАЯ»,Северный ,147,82.0,106.0,49.0,98.93,2387463332
ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО РЕМОНТНО-СТРОИТЕЛЬНАЯ ФИРМА «РЕМСТРОЙСЕРВИС»,Центральный ,63,82.0,107.63,49.0,97.31,2387463333
АКЦИОНЕРНОЕ ОБЩЕСТВО «КОММУНАЛЬНО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ МОСМЕТРОСТРОЯ»,Северо-Восточный ,1,82.0,106.0,0.0,99.16,2387463335
УПРАВЛЯЮЩАЯ ОРГАНИЗАЦИЯ «КУРЧАТОВСКИЙ»,Северо-Западный ,56,82.0,105.0,49.0,99.91,2387463336
«ЭЛИТСТРОЙ»,Восточный ,39,82.0,106.12,50.0,98.74,2387463337
АГЕНТСТВО «ТАЛИОН»,"[Новомосковский , Троицкий ]",48,82.0,106.0,48.0,98.83,2387463339
«УПРАВЛЯЮЩАЯ КОМПАНИЯ ТЕРРИТОРИАЛЬНАЯ РЕМОНТНО-ЭКСПЛУАТАЦИОННАЯ КОМПАНИЯ»,Центральный ,32,82.0,105.77,48.0,99.0,2387463340
«ВЕКТОР»,Центральный ,12,81.99,107.9,50.0,96.82,2387463342
«ЖИЛИЩНИК ПРЕСНЕНСКОГО РАЙОНА»,Центральный ,523,81.98,107.4,88.0,97.12,2387463344
«УПРАВЛЯЮЩАЯ КОМПАНИЯ «ПРЕОБРАЖЕНСКОЕ»,Восточный ,54,81.98,105.62,44.0,99.12,2387463345
«ЖИЛИЩНИК РАЙОНА НАГАТИНСКИЙ ЗАТОН»,Южный ,209,81.97,105.97,50.0,98.71,2387463346
«ЖИЛСТАНДАРТ»,Центральный ,65,81.95,105.3,50.0,99.33,2387463348
«ЖИЛИЩНИК РАЙОНА ТВЕРСКОЙ»,Центральный ,431,81.94,107.0,50.0,97.52,2387463350
«КОМПЛЕКСНОЕ ОБСЛУЖИВАНИЕ РАЙОНА»,Северо-Восточный ,32,81.94,104.88,50.0,99.72,2387463352
УПРАВЛЯЮЩАЯ КОМПАНИЯ «ОСТАФЬЕВО»,"[Новомосковский , Троицкий ]",49,81.88,108.0,0.0,96.69,2387463353
«УПРАВЛЕНИЕ МНОГОКВАРТИРНЫМИ ДОМАМИ»,Юго-Восточный ,25,81.85,104.69,50.0,99.68,2387463354
«ТРОИЦКЖИЛСЕРВИС»,"[Новомосковский , Троицкий ]",33,81.84,106.0,50.0,98.34,2387463355
«УПРАВЛЯЮЩАЯ КОМПАНИЯ ГОЛЬЯНОВО-ВОСТОК»,Восточный ,41,81.83,104.46,48.0,99.87,2387463356
«ЖИЛИЩНИК ВЫХИНО РАЙОНА «ВЫХИНО-ЖУЛЕБИНО»,Юго-Восточный ,193,81.82,105.98,49.0,98.32,2387463357
«ЗНАКОМЫЕ КВАРТАЛЫ»,"[Новомосковский , Троицкий ]",11,81.8,104.0,100.0,100.0,2387463358
«УПРАВЛЯЮЩАЯ КОМПАНИЯ «ГАРАНТ»,Центральный ,4,81.76,104.57,50.0,99.59,2387463359
«ПРОМИНЭКСПО»,Южный ,2,81.75,104.0,93.0,99.9,2387463360
«ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО»,Восточный ,295,81.71,104.96,50.0,99.0,2387463361
«УПРАВЛЯЮЩАЯ КОМПАНИЯ КАПИТЕЛЬ»,Западный ,42,81.7,104.22,49.0,99.79,2387463363
