company,region,houses_count,points,satisfaction_level,reliability_level,violations_level,global_id
«УК ВОСТОК ГРУПП»,Северо-Западный ,5,84.16,110.0,78.0,100.0,1719509048
«ЦЕНТР СЕРВИСНОГО ОБСЛУЖИВАНИЯ ЭНТУЗИАСТ»,Восточный ,1,84.2,110.0,100.0,100.0,1721300782
АКЦИОНЕРНОЕ ОБЩЕСТВО «ВПЕРЁД ДВЛ»,Центральный ,1,84.2,110.0,98.0,100.0,1721300783
«АКВАНТ»,Северный ,1,84.16,110.0,81.0,100.0,1721300784
"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДА МОСКВЫ «ДИРЕКЦИЯ ПО ЭКСПЛУАТАЦИИ ЗДАНИЙ, ИНЖЕНЕРНЫХ СООРУЖЕНИЙ И КОММУНИКАЦИЙ»",Восточный ,1,84.0,110.0,0.0,100.0,1721300785
«УПРАВЛЯЮЩАЯ КОМПАНИЯ ЦАО»,Центральный ,1,84.0,110.0,0.0,100.0,1721300786
«ПРОЕКТСПЕЦМОНОЛИТ»,Центральный ,2,84.0,110.0,0.0,100.0,1721300787
«АВРОРА ПЛЮС»,Центральный ,1,84.0,110.0,0.0,100.0,1721300788
«АРСП»,Северо-Западный ,1,84.0,110.0,0.0,100.0,1721300789
«ФИРМА «ТЭМПЭРА»,Центральный ,1,84.0,110.0,0.0,100.0,1721300790
«ЦЕНТР «ТЕХНОСТРОЙ»,Троицкий ,2,84.0,110.0,0.0,100.0,1721300791
ООО «ОСТАФЬЕВО-ГРУПП»,Троицкий ,1,84.0,110.0,0.0,100.0,1721300793
«ПЕРВАЯ ПРОФЕССИОНАЛЬНАЯ СЕРВИСНАЯ КОМПАНИЯ»,Центральный ,2,83.96,110.0,0.0,99.89,1721300794
«ТАМБОВСКАЯ СЕЛЬСКОХОЗЯЙСТВЕННАЯ КОМПАНИЯ»,Северо-Восточный ,1,83.81,110.0,0.0,99.52,1721300795
АКЦИОНЕРНОЕ ОБЩЕСТВО «СТРОЙСЕРВИС»,Центральный ,2,83.73,110.0,92.0,98.87,1721300796
«АРБАТ-СЕРВИС« УПРАВЛЕНИЕ НЕДВИЖИМОСТЬЮ»,Восточный ,3,83.73,110.0,75.0,98.96,1721300797
«СОКО-МПХ»,Северный ,3,83.69,110.0,0.0,99.23,1721300798
«ДОМЕКС»,Юго-Западный ,2,83.65,109.53,0.0,99.59,1721300799
«УПРАВЛЯЮЩАЯ КОМПАНИЯ ПАТРИКИ»,Центральный ,2,83.46,110.0,0.0,98.65,1721300800
«СЕВЕРЭКСПОСТРОЙ»,Северный ,9,83.45,110.0,100.0,98.12,1721300801
«УК СЕВЕР»,Северный ,1,83.44,110.0,72.0,98.23,1721300803
«ФОРТАЙД СЕРВИС»,Центральный ,2,83.4,108.0,99.0,100.0,1721300804
«ВОСХОД»,Восточный ,2,83.3,108.0,50.0,100.0,1721300805
«СПЛАВ Т»,"[Северо-Западный , Юго-Западный ]",4,83.2,108.0,0.0,100.0,1721300806
«ЖИЛКОМСЕРВИСПЛЮС»,Восточный ,2,83.2,108.0,0.0,100.0,1721300807
«КВАРТАЛ 51-52»,Восточный ,1,83.2,108.0,0.0,100.0,1721300808
«ПТО СТРОЙТЯЖМАШКОМПЛЕКТ»,Центральный ,1,83.1,110.0,54.0,97.47,1721300809
«КУТУЗОВСКИЙ-ДК»,"[Центральный , Западный ]",9,82.94,108.0,0.0,99.36,1721300810
«ОФИС-ДК»,"[Центральный , Северный , Юго-Восточный ]",13,82.84,108.0,0.0,99.0,1721300811
«ЯРЬ»,Северо-Восточный ,1,82.84,108.0,0.0,99.0,1721300812
«АЛЬФАСИТИ»,Центральный ,3,82.82,108.0,0.0,99.0,1721300814
«ЖИЛИЩНИК»,Южный ,25,82.7,110.0,0.0,96.75,1721300815
«ВОСТОК»,Восточный ,1,82.59,110.0,85.0,96.0,1721300816
МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ «ГОРОДСКОЕ БЛАГОУСТРОЙСТВО»,Троицкий ,1,82.56,106.0,79.0,100.0,1721300817
«УПРАВЛЯЮЩАЯ КОМПАНИЯ «СТАБИЛЬНОСТЬ»,Троицкий ,32,82.43,106.0,89.0,99.63,1721300818
«СОВРЕМЕННЫЕ КОММУНАЛЬНЫЕ СИСТЕМЫ»,Северо-Западный ,1,82.4,106.0,0.0,100.0,1721300819
«УПРАВЛЯЮЩАЯ КОМПАНИЯ «МУЛЬТИСТОРИ»,Троицкий ,1,82.4,106.0,0.0,100.0,1721300820
«ТЕХНИКО ЭКСПЛУАТАЦИОННАЯ КОМПАНИЯ»,"[Западный , Центральный , Южный , Юго-Западный ]",16,82.36,106.0,0.0,99.91,1721300821
«ЦЕНТР СОПРОВОЖДЕНИЯ ПРОГРАММ»,Троицкий ,55,82.34,108.0,0.0,97.84,1721300822
ДИРЕКЦИЯ ЭКСПЛУАТАЦИИ ЗДАНИЙ «ОТРАДНОЕ»,Центральный ,3,82.27,108.0,0.0,97.67,1721300823
АКЦИОНЕРНОЕ ОБЩЕСТВО «КОММУНАЛЬНО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ МОСМЕТРОСТРОЯ»,Северо-Восточный ,1,82.24,106.0,54.0,99.33,1721300824
«МАСТЕР-РЕМ»,Центральный ,20,82.17,106.24,0.0,99.19,1721300826
«СТРОЙМЕДИА-М»,Юго-Западный ,1,82.0,110.0,0.0,95.14,1721300827
«УПРАВЛЯЮЩАЯ КОМПАНИЯ ПОБЕДА»,Юго-Восточный ,1,81.94,106.0,0.0,98.84,1721300828
«МКС ЮГО-ЗАПАД»,Юго-Западный ,1,81.89,106.0,0.0,98.73,1721300829
«КОНОК»,Центральный ,1,81.83,110.0,0.0,94.58,1721300830
«ПРОМИНЭКСПО»,Южный ,2,81.77,104.0,86.0,100.0,1721300832
«ПРОМЖИЛСТРОЙ»,Троицкий ,87,81.76,106.0,11.0,98.35,1721300833
«ЖИЛИЩНИК 365»,"[Восточный , Северо-Восточный ]",22,81.74,105.78,0.0,98.56,1721300834
УПРАВЛЯЮЩАЯ КОМПАНИЯ «ОСТАФЬЕВО»,Троицкий ,69,81.72,108.0,0.0,96.29,1721300835
«УПРАВЛЯЮЩАЯ КОМПАНИЯ АВТОСТРОЙ ЖКХ»,Троицкий ,13,81.72,106.0,0.0,98.31,1721300836
«СКС УПРАВЛЯЮЩАЯ КОМПАНИЯ»,Северо-Западный ,58,81.71,106.0,0.0,98.28,1721300838
«СТАНДАРТ ЖКХ УПРАВЛЕНИЕ НЕДВИЖИМОСТЬЮ»,Троицкий ,1,81.71,106.0,0.0,98.27,1721300839
«ТРОИЦКЖИЛСЕРВИС»,Троицкий ,33,81.69,106.0,0.0,98.22,1721300840
АГЕНТСТВО «ТАЛИОН»,Троицкий ,48,81.66,106.0,0.0,98.15,1721300841
НЕКОММЕРЧЕСКОЕ ПАРТНЕРСТВО СОБСТВЕННИКОВ ЖИЛЬЯ «СЕРЕБРЯНЫЙ КВАРТЕТ»,"[Северо-Западный , Центральный , Юго-Западный ]",5,81.61,104.0,100.0,99.52,1721300842
«ТЕХКОМБЕЗОПАСНОСТЬ»,Центральный ,3,81.6,104.0,0.0,100.0,1721300843
«КОНДОР-ГРУПП»,Юго-Западный ,2,81.6,104.0,0.0,100.0,1721300844
«КОМНАТСЕРВИС»,Южный ,1,81.52,106.0,0.0,97.81,1721300845
«УПРАВЛЯЮЩАЯ КОМПАНИЯ «ОСНОВА»,Западный ,4,81.49,104.0,37.0,99.53,1721300846
